Timestamp;IMU_angle[0];Set_Yaw
26000;99.410492;89.996811
36000;99.410728;89.996811
46000;99.410278;89.996811
56000;99.410622;89.996811
66000;99.409958;89.996811
77000;99.409744;89.996811
87000;99.409561;89.996811
98000;99.409500;89.996811
108000;99.409111;89.996811
119000;99.410744;89.996811
130000;99.410934;89.996811
140000;99.411781;89.996811
151000;99.410095;89.996811
161000;99.409538;89.996811
171000;99.409012;89.996811
182000;99.410980;89.996811
192000;99.410667;89.996811
202000;99.411514;89.996811
212000;99.410255;89.996811
222000;99.410355;89.996811
232000;99.409874;89.996811
242000;99.409546;89.996811
254000;99.409683;89.996811
264000;99.408379;89.996811
275000;99.409767;89.996811
285000;99.410568;89.996811
295000;99.411163;89.996811
306000;99.410522;89.996811
316000;99.409920;89.996811
326000;99.409073;89.996811
336000;99.408051;89.996811
347000;99.406784;89.996811
357000;99.406708;89.996811
367000;99.406334;89.996811
378000;99.406555;89.996811
389000;99.405502;89.996811
399000;99.405098;89.996811
410000;99.403557;89.996811
420000;99.404121;89.996811
431000;99.404381;89.996811
442000;99.402725;89.996811
452000;99.402199;89.996811
463000;99.400200;89.996811
473000;99.400620;89.996811
484000;99.401443;89.996811
494000;99.400940;89.996811
505000;99.401138;89.996811
517000;99.402084;89.996811
527000;99.401764;89.996811
538000;99.401115;89.996811
550000;99.400162;89.996811
561000;99.398842;89.996811
571000;99.399689;89.996811
581000;99.400574;89.996811
592000;99.400154;89.996811
603000;99.399353;89.996811
613000;99.399002;89.996811
623000;99.398590;89.996811
635000;99.400581;89.996811
645000;99.399536;89.996811
655000;99.398727;89.996811
666000;99.398804;89.996811
677000;99.397491;89.996811
687000;99.396461;89.996811
698000;99.396774;89.996811
709000;99.397179;89.996811
720000;99.399307;89.996811
731000;99.399689;89.996811
741000;99.400146;89.996811
751000;99.399811;89.996811
763000;99.398460;89.996811
774000;99.398651;89.996811
784000;99.397881;89.996811
795000;99.398842;89.996811
805000;99.399155;89.996811
815000;99.399124;89.996811
826000;99.398560;89.996811
836000;99.398529;89.996811
846000;99.397781;89.996811
857000;99.397102;89.996811
867000;99.397614;89.996811
878000;99.396530;89.996811
889000;99.395576;89.996811
900000;99.392708;89.996811
911000;99.392525;89.996811
922000;99.391724;89.996811
932000;99.392387;89.996811
943000;99.392174;89.996811
954000;99.392029;89.996811
965000;99.391464;89.996811
975000;99.390198;89.996811
986000;99.389786;89.996811
996000;99.389915;89.996811
1006000;99.390266;89.996811
1017000;99.389290;89.996811
1028000;99.389153;89.996811
1038000;99.390091;89.996811
1049000;99.389702;89.996811
1060000;99.390213;89.996811
1071000;99.389572;89.996811
1082000;99.390320;89.996811
1092000;99.391411;89.996811
1103000;99.392059;89.996811
1114000;99.392746;89.996811
1124000;99.392036;89.996811
1134000;99.391739;89.996811
1145000;99.391022;89.996811
1155000;99.392960;89.996811
1165000;99.390358;89.996811
1176000;99.391190;89.996811
1186000;99.390472;89.996811
1197000;99.389084;89.996811
1208000;99.389885;89.996811
1218000;99.389908;89.996811
1229000;99.390465;89.996811
1239000;99.390511;89.996811
1249000;99.390884;89.996811
1259000;99.392159;89.996811
1270000;99.392380;89.996811
1281000;99.393242;89.996811
1292000;99.392052;89.996811
1303000;99.392921;89.996811
